SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
69.33,0,9.99,6.32,0.87,3.93,1.74,3.87,0,0,1.17,0,0,0.39
74.38,0,8.78,3.94,0.555,4.78,1.08,2.935,0.83,1.43,0.68,0.05,0,0
65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,0.79,0,0,0.36
61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,0.94,0.06,0,0.47
63.73,0,7.525,2.705,1.855,10.6,4.215,2.345,0.275,1.175,4.34,0.115,0,0
66.65083333,0.659330393,8.336497594,5.149310345,0.837207298,6.429294306,1.751128041,3.24,0.390538626,0,0.61,0.039528201,0,0
69.04083333,0.723268164,9.734919407,5.094896552,0.918394467,6.200759262,2.054456028,1.55,0.428410639,0,0.35,0.043361401,0,0
70.79083333,0.770084523,10.65686006,4.974551724,0.977841139,6.006685485,2.106725474,0.84,0.456141192,0,0,0.046168137,0,0
68.31083333,0.703739054,9.907995589,5.074068966,0.893596712,6.208972895,1.97762363,1.65,0.416843037,0,0.15,0.042190591,0,0
59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0
62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0,0.16,0,0,0
65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,0,0.04,0,0
79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,0.07,2.36,0
76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0
66.37083333,0.651839775,8.981787089,5.692965517,1.46769583,7.898746111,1.913164929,0.55,0.386101738,0,0.21,0.039079123,0,0
66.74083333,0.661738091,8.366940257,5.034206897,1.380264555,6.975541941,1.786901898,1.54,0.391964769,0,0.36,0.039672547,0,0
